timestamp_ms,currency,ta_signal,signal
1775429999999,SOL,0,HOLD
1775433599999,SOL,0,HOLD
1775437199999,SOL,0,HOLD
1775440799999,SOL,0,HOLD
1775444399999,SOL,0,HOLD
1775447999999,SOL,0,HOLD
1775451599999,SOL,0,HOLD
1775455199999,SOL,0,HOLD
1775458799999,SOL,0,HOLD
1775462399999,SOL,0,HOLD
1775465999999,SOL,0,HOLD
1775469599999,SOL,0,HOLD
1775473199999,SOL,0,HOLD
1775476799999,SOL,0,HOLD
1775480399999,SOL,0,HOLD
1775483999999,SOL,0,HOLD
1775487599999,SOL,0,HOLD
1775491199999,SOL,-1,SELL
1775494799999,SOL,-1,SELL
1775498399999,SOL,-1,SELL
1775501999999,SOL,-1,SELL
1775505599999,SOL,-1,SELL
1775509199999,SOL,-1,SELL
1775512799999,SOL,-1,SELL
1775516399999,SOL,-1,SELL
1775519999999,SOL,-1,SELL
1775523599999,SOL,-1,SELL
1775527199999,SOL,-1,SELL
1775530799999,SOL,-1,SELL
1775534399999,SOL,-1,SELL
1775537999999,SOL,-1,SELL
1775541599999,SOL,-1,SELL
1775545199999,SOL,-1,SELL
1775548799999,SOL,-1,SELL
1775552399999,SOL,-1,SELL
1775555999999,SOL,-1,SELL
1775559599999,SOL,-1,SELL
1775563199999,SOL,-1,SELL
1775566799999,SOL,-1,SELL
1775570399999,SOL,-1,SELL
1775573999999,SOL,-1,SELL
1775577599999,SOL,-1,SELL
1775581199999,SOL,-1,SELL
1775584799999,SOL,0,HOLD
1775588399999,SOL,0,HOLD
1775591999999,SOL,0,HOLD
1775595599999,SOL,0,HOLD
1775599199999,SOL,0,HOLD
1775602799999,SOL,0,HOLD
1775606399999,SOL,0,HOLD
1775609999999,SOL,0,HOLD
1775613599999,SOL,0,HOLD
1775617199999,SOL,0,HOLD
1775620799999,SOL,0,HOLD
1775624399999,SOL,0,HOLD
