Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1774911600000,2033.07,2033.07,2013.92,2026.48,9027.7424,1774915199999,18247876.094938,121638,4095.0206,8275612.796458
1774915200000,2026.48,2041.04,2016.29,2036.65,11575.7993,1774918799999,23482885.314017,196944,7529.4734,15277508.414852
1774918800000,2036.65,2092.34,2032.27,2073.0,37952.0065,1774922399999,78602950.73977,362343,22168.6009,45893876.227973
1774922400000,2072.99,2082.92,2067.25,2073.09,9808.7704,1774925999999,20361980.696314,138929,5046.6592,10478140.314242
1774926000000,2073.08,2076.61,2061.87,2066.71,7165.564,1774929599999,14819465.244217,96066,3747.2122,7749784.492425
1774929600000,2066.71,2072.24,2057.06,2060.87,9767.5865,1774933199999,20153779.809079,96506,3990.1822,8236654.088748
1774933200000,2060.87,2069.0,2054.77,2064.31,6966.4614,1774936799999,14368797.817731,94904,3269.0257,6744313.19141
1774936800000,2064.32,2064.95,2055.2,2062.33,7104.4897,1774940399999,14629771.490196,87385,2729.5418,5621330.214507
1774940400000,2062.33,2062.91,2042.31,2055.97,11011.0442,1774943999999,22594079.175043,115406,5349.2849,10975325.14289
1774944000000,2055.98,2059.2,2036.03,2040.1,10274.3456,1774947599999,21035383.842831,143958,4554.0418,9326214.113687
1774947600000,2040.11,2044.5,2012.64,2018.37,22808.2373,1774951199999,46276966.258733,236678,8107.0505,16453743.14312
1774951200000,2018.37,2030.28,2017.18,2026.5,9753.183,1774954799999,19748344.297452,132519,5252.7318,10634881.029229
1774954800000,2026.5,2044.51,2023.0,2041.2,19943.7718,1774958399999,40600401.52928,210146,10663.064,21705287.386129
1774958400000,2041.21,2057.92,2035.02,2047.78,15267.3566,1774961999999,31251515.725263,204655,7534.5068,15424989.618447
1774962000000,2047.78,2079.88,2047.78,2075.37,20810.5927,1774965599999,42992371.588618,280184,10253.0285,21182725.074415
1774965600000,2075.37,2092.0,2037.58,2045.94,38453.8525,1774969199999,79645054.398243,408768,17548.067,36382532.72593
1774969200000,2045.94,2077.81,2045.65,2054.85,21417.6464,1774972799999,44199536.081193,361546,11718.8731,24181850.739236
1774972800000,2054.85,2108.52,2054.29,2091.7,46551.3832,1774976399999,97296224.174104,517370,26794.2951,55993710.228325
1774976400000,2091.7,2124.03,2088.88,2093.36,50852.9773,1774979999999,106994069.369205,485235,26379.4802,55495833.422155
1774980000000,2093.35,2115.14,2093.35,2099.89,18730.7612,1774983599999,39388143.783139,222251,11561.6028,24308703.686853
1774983600000,2099.88,2104.0,2092.23,2096.54,9937.1431,1774987199999,20851940.966083,168086,5066.6831,10631916.742199
1774987200000,2096.54,2111.01,2096.32,2107.66,9394.9389,1774990799999,19767069.917024,117959,5753.5597,12104263.255159
1774990800000,2107.66,2109.03,2093.12,2102.63,9418.0037,1774994399999,19781528.591879,111062,4701.0619,9874115.105876
1774994400000,2102.64,2104.27,2088.35,2096.51,8199.1651,1774997999999,17187865.587301,108483,3369.0828,7063800.309226
1774998000000,2096.52,2108.66,2093.21,2105.43,8732.8219,1775001599999,18357093.809479,116413,5292.0192,11125035.459938
1775001600000,2105.43,2117.79,2096.89,2114.72,11320.4724,1775005199999,23840909.029359,164239,6254.9141,13179309.124645
1775005200000,2114.73,2115.83,2091.4,2092.95,10566.2532,1775008799999,22192840.159544,144415,4444.0713,9333640.874738
1775008800000,2092.94,2096.38,2082.08,2088.45,8502.6779,1775012399999,17762705.783112,130361,3759.5684,7854513.513492
1775012400000,2088.46,2106.88,2088.46,2102.91,7586.5948,1775015999999,15931448.535896,121178,4562.9154,9581230.70152
1775016000000,2102.91,2116.46,2100.35,2111.26,7709.7695,1775019599999,16253173.020868,110460,4041.5967,8523039.499189
1775019600000,2111.26,2137.35,2106.42,2122.67,20075.223,1775023199999,42661012.321893,190392,10957.325,23288476.381853
1775023200000,2122.67,2156.23,2122.57,2151.23,30648.667,1775026799999,65686367.783132,270703,18314.8883,39241803.670516
1775026800000,2151.24,2158.0,2130.2,2131.0,19745.3623,1775030399999,42312397.556635,167761,6455.5929,13836106.144119
1775030400000,2131.0,2142.93,2125.0,2136.96,18385.7683,1775033999999,39244135.282023,157415,8293.3491,17702059.075944
1775034000000,2136.95,2140.46,2128.12,2136.39,13657.7192,1775037599999,29140787.534062,139374,5234.913,11170675.97733
1775037600000,2136.4,2137.93,2126.28,2132.65,7710.0182,1775041199999,16437939.234339,106588,3304.7968,7046344.266964
1775041200000,2132.64,2139.37,2130.71,2135.32,6480.7467,1775044799999,13837330.424046,95777,3451.5824,7369947.147772
1775044800000,2135.32,2152.0,2121.95,2130.82,21417.4613,1775048399999,45706196.254214,219125,10793.2652,23039590.091908
1775048400000,2130.82,2135.31,2108.72,2119.28,28757.3299,1775051999999,60994525.75556,373085,14754.7166,31290754.578892
1775052000000,2119.27,2130.6,2114.05,2126.81,16662.6582,1775055599999,35352824.808781,300840,8052.4195,17084729.146082
